"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-21",,,"82","H,,S","89",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-22",,,"77","H,,S","88",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-23",,,"82","H,,S","92",",,S","71",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-25",,,"75","H,,S",,,"73",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-26",,,"76","H,,S",,,"73",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-28",,,"83","H,,S","90",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-29",,,"82","H,,S",,,"75",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-30",,,"78","H,,S",,,"76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-05-31",,,"84","H,,S",,,"75",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-02",,,"82","H,,S","92",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-05",,,"82","H,,S",,,,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-07",,,"77","H,,S","80",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-08",,,"82","H,,S","89",",,S","74",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-09",,,"80","H,,S","84",",,S","74",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-10",,,"83","H,,S","92",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-11",,,"81","H,,S","88",",,S","75",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-12",,,"78","H,,S","83",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-14",,,"85","H,,S",,,"76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-15",,,"82","H,,S","89",",,S","74",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-16",,,"79","H,,S","84",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-18",,,"88","H,,S","95",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-19",,,"79","H,,S","86",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-20",,,"79","H,,S","85",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-22",,,"84","H,,S","91",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-23",,,"85","H,,S","93",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-24",,,"81","H,,S","84",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-26",,,"80","H,,S","85",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-27",,,"80","H,,S","84",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-28",,,"81","H,,S","88",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-29",,,"80","H,,S",,,"75",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-06-30",,,"80","H,,S","88",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-01",,,"80","H,,S","89",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-02",,,"80","H,,S","86",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-05",,,"81","H,,S","87",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-06",,,"80","H,,S","83",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-07",,,"78","H,,S","81",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-08",,,"80","H,,S","85",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-10",,,"81","H,,S","88",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-12",,,"85","H,,S","91",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-13",,,"82","H,,S","88",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-14",,,"83","H,,S","92",",,S","78",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-15",,,"84","H,,S","94",",,S","78",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-16",,,"85","H,,S","96",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-18",,,"80","H,,S","83",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-20",,,"79","H,,S",,,"76",",,S"
